"country","city","airport","iso"
"South Africa","Cape Town","Cape Town International Airport","CPT"
"South Africa","Durban","King Shaka International Airport","DUR"
"South Africa","Kempton Park","OR Tambo International Airport","KMP"
"South Africa","Nelspruit","Kruger Mpumalanga International Airport","MQP"
"South Africa","Johannesburg","O.R.Tambo International Airport","JNB"
"South Africa","Johannesburg","Lanseria International Airport","HLA"
"Swaziland","Manzini","King Mswati III International Airport","SHO"
"Zambia","Livingstone","Harry Mwanga Nkumbula International Airport","LVI"
"Zambia","Lusaka","Kenneth Kaunda International Airport","LUN"
"Zambia","Ndola","Simon Mwansa Kapwepwe Airport","NLA"
"Zimbabwe","Harare","Harare International Airport","HRE"
"Zimbabwe","Victoria Falls","Victoria Falls Airport","VFA"
"Zimbabwe","Bulawayo","Joshua Mqabuko Nkomo International Airport","BUQ"
"Benin","Cotonou","Cadjehoun Airport","COO"
"Burkina Faso","Bobo Dioulasso","Bobo Dioulasso Airport","BOY"
"Burkina Faso","Ouagadougou","Ouagadougou Airport","OUA"
"Cameroon","Douala","Douala Airport","DLA"
"Cape Verde","Boa Vista Island","Aristides Pereira International Airport","BVC"
"Cape Verde","Praia, Santiago Island","Nelson Mandela International Airport","RAI"
"Central African Republic","Bangui","M'Poko International Airport","BGF"
"Gambia","Banjul","Banjul International Airport","BJL"
"Ghana","Accra","Kotoka International Airport","ACC"
"Ghana","Tamale","Tamale Airport","TML"
"Guinea","Conakry","Conakry International Airport","CKY"
"Guinea-Bissau","Bissau","Osvaldo Vieira International Airport","OXB"
"Guinea-Bissau","Bubaque","Bubaque Airport","BQE"
"Liberia","Monrovia","Roberts International Airport","ROB"
"Mali","Bamako","Senou International Airport","BKO"
"Mauritania","Nouadhibou","Nouadhibou International Airport","NDB"
"Niger","Niamey","Diori Hamani International Airport","NIM"
"Nigeria","Abuja","Nnamdi Azikiwe International Airport","ABV"
"Nigeria","Calabar","Margaret Ekpo International Airport","CBQ"
"Nigeria","Asaba, Delta","Asaba International Airport","ABB"
"Nigeria","Kano","Mallam Aminu Kano International Airport","KAN"
"Nigeria","Lagos","Murtala Mohammed International Airport","LOS"
"Nigeria","Port Harcourt","Port Harcourt International Airport","PHC"
"Nigeria","Enugu","Akanu Ibiam International Airport","ENU"
"Nigeria","Sokoto","Sadiq Abubakar III International Airport","SKO"
"Sierra Leone","Freetown","Lungi International Airport","FNA"
"Anguilla","The Valley","Clayton J. Lloyd International Airport","AXA"
"Antigua and Barbuda","Antigua","VC Bird International Airport","ANU"
"Bahamas","Nassau","Lynden Pindling International Airport","NAS"
"Bahamas","Chub Cay","Chub Cay International Airport","CCZ"
"Bahamas","Exuma","Exuma International Airport","GGT"
"Bahamas","Freeport","Grand Bahama International Airport","FPO"
"Bahamas","South Eleuthera","Rock Sound International Airport","RSD"
"Bahamas","Marsh Harbour","Marsh Harbor International Airport","MHH[1]"
"Barbados","Christ Church, Barbados","Grantley Adams International Airport","BGI"
"British Virgin Islands","Road Town","Terrance B. Lettsome International Airport","EIS"
"Cayman Islands","Cayman Brac","Charles Kirkconnell International Airport","CYB"
"Cayman Islands","Georgetown","Owen Roberts International Airport","GCM"
"Cuba","Cayo Coco","Jardines del Rey Airport","CCC"
"Cuba","Santiago","Antonio Maceo Airport","SCU"
"Dominica","Roseau","Melville Hall Airport","DOM"
"Dominican Republic","La Romana","La Romana International Airport","LRM"
"Dominican Republic","Punta Cana","Punta Cana International Airport","PUJ"
"Dominican Republic","Santiago de los Caballeros","Cibao International Airport","STI"
"Grenada","Grenada","Maurice Bishop International Airport","GND"
"Haiti","Port-au-Prince","Toussaint Louverture International Airport","PAP"
"Jamaica","Kingston","Norman Manley International Airport","KIN"
"Jamaica","Montego Bay","Sangster International Airport","MBJ"
"Montserrat","Brades","John A. Osborne Airport","MNI"
"Netherlands Antilles","Kralendijk","Flamingo International Airport","BON"
"Aruba","Oranjestad","Queen Beatrix International Airport","AUA"
"Netherlands Antilles","Philipsburg, Sint Maarten","Princess Juliana International Airport","SXM"
"Curaa§ao","Willemstad","Hato International Airport","CUR"
"Saint Barthelemy","St. Jean","Gustaf III Airport","SBH"
"Saint Kitts and Nevis","Saint Kitts","Robert L. Bradshaw International Airport","SKB"
"Saint Lucia","Vieux Fort Quarter","Hewanorra International Airport","UVF"
"Saint Vincent and the Grenadines","Kingstown","Argyle International Airport","SVD"
"Saint Vincent and the Grenadines","Canouan","Canouan Airport","CIW"
"Trinidad and Tobago","Port-of-Spain","Piarco International Airport","POS"
"Trinidad and Tobago","Tobago","Arthur Napoleon Raymond Robinson International Airport (formerly Crown Point International Airport)","TAB"
"Turks and Caicos Islands","Providenciales","Providenciales Airport","PLS"
"United States Virgin Islands","Saint Thomas","Cyril E. King Airport","STT"
"United States Virgin Islands","Saint Croix","Henry E. Rohlsen Airport","STX"
"Belize","Belize City","Philip S. W. Goldson International Airport","BZE"
"Guatemala","Flores","Mundo Maya International Airport","FRS"
"Guatemala","Guatemala","La Aurora International Airport","GUA"
"Honduras","Tegucigalpa","Toncontin International Airport","TGU"
"Nicaragua","Managua","Augusto C. Sandino International Airport","MGA"
"Nicaragua","Bluefields","Bluefields Airport","BEF"
"Nicaragua","Corn Island","Corn Island Airport","RNI"
"Nicaragua","Puerto Cabezas","Puerto Cabezas Airport","PUZ"
"Panama","Panama City","Tocumen International Airport","PTY"
"Bermuda","St. George's, Bermuda","L.F. Wade International Airport","BDA"
"Canada","Calgary","Calgary International Airport","YYC"
"Canada","Edmonton","Edmonton International Airport","YEG"
"Canada","Gander","Gander International Airport","YQX"
"Canada","Halifax","Halifax Stanfield International Airport","YHZ"
"Canada","Hamilton","John C. Munro Hamilton International Airport","YHM"
"Canada","Iqaluit","Iqaluit Airport","YFB"
"Canada","Kelowna","Kelowna International Airport","YLW"
"Canada","Moncton","Greater Moncton International Airport","YQM"
"Canada","Montréal","Montreal-Mirabel International Airport","YMX"
"Canada","Montréal","Montreal-Pierre Elliott Trudeau International Airport","YUL"
"Canada","Ottawa","Ottawa Macdonald-Cartier International Airport","YOW"
"Canada","Quebec","Quebec/Jean Lesage International Airport","YQB"
"Canada","Regina","Regina International Airport","YQR"
"Canada","Saskatoon","Saskatoon John G. Diefenbaker International Airport","YXE"
"Canada","St. John's","St. John's International Airport","YYT"
"Canada","Thunder Bay","Thunder Bay International Airport","YQT"
"Canada","Toronto","Billy Bishop Toronto City Airport","YTZ"
"Canada","Toronto","Toronto Pearson International Airport","YYZ"
"Canada","Vancouver","Vancouver International Airport","YVR"
"Canada","Victoria","Victoria International Airport","YYJ"
"Canada","Whitehorse","Erik Nielsen Whitehorse International Airport","YXY"
"Canada","Winnipeg","Winnipeg James Armstrong Richardson International Airport","YWG"
"Greenland","Kangerlussuaq","Kangerlussuaq Airport","SFJ"
"Greenland","Nuuk","Nuuk Airport","GOH"
"Greenland","Ilulissat","Ilulissat Airport","JAV"
"Greenland","Narsarsuaq","Narsarsuaq Airport","UAK"
"Mexico","Acapulco","General Juan N. Alvarez International Airport","ACA"
"Mexico","Chihuahua","Roberto Fierro Villalobos International Airport","CUU"
"Mexico","Ciudad del Carmen","Ciudad del Carmen International Airport","CME"
"Mexico","Cozumel","Cozumel International Airport","CZM"
"Mexico","Durango","General Guadalupe Victoria International Airport","DGO"
"Mexico","Guadalajara","Don Miguel Hidalgo y Costilla International Airport","GDL"
"Mexico","Hermosillo","Hermosillo International Airport","HMO"
"Mexico","Ixtapa","Ixtapa-Zihuatanejo International Airport","ZIH"
"Mexico","Loreto","Loreto International Airport","LTO"
"Mexico","Los Cabos","Los Cabos International Airport","SJD"
"Mexico","Manzanillo","Playa de Oro International Airport","ZLO"
"Mexico","Mexico City","Mexico City International Airport","MEX"
"Mexico","Monterrey","General Mariano Escobedo International Airport","MTY"
"Mexico","Morelia","General Francisco J. Mujica International Airport","MLM"
"Mexico","Saltillo","Plan de Guadalupe International Airport","SLW"
"Mexico","Tampico","General Francisco Javier Mina International Airport","TAM"
"Mexico","Tuxtla Gutierrez","Angel Albino Corzo International Airport","TGZ"
"Mexico","Uruapan","Uruapan International Airport","UPN"
"Mexico","Veracruz","General Heriberto Jara International Airport","VER"
"Mexico","Zacatecas","General Leobardo C. Ruiz International Airport","ZCL"
"United States of America","Akron","Akron Fulton International Airport","AKC"
"United States of America","Albany","Albany International Airport","ALB"
"United States of America","Albuquerque","Albuquerque International Sunport","ABQ"
"United States of America","Anchorage","Ted Stevens Anchorage International Airport","ANC"
"United States of America","Appleton","Appleton International Airport","ATW"
"United States of America","Atlanta","Hartsfield-Jackson Atlanta International Airport","ATL"
"United States of America","Atlantic City","Atlantic City International Airport","ACY"
"United States of America","Austin","Austin-Bergstrom International Airport","AUS"
"United States of America","Baltimore","Baltimore-Washington International Thurgood Marshall Airport","BWI"
"United States of America","Bangor","Bangor International Airport","BGR"
"United States of America","Birmingham","Birmingham-Shuttlesworth International Airport","BHM"
"United States of America","Boston","Logan International Airport","BOS"
"United States of America","Buffalo","Buffalo Niagara International Airport","BUF"
"United States of America","Charlotte","Charlotte/Douglas International Airport","CLT"
"United States of America","Chicago","Chicago Midway International Airport","MDW"
"United States of America","Chicago","Chicago Rockford International Airport","RFD"
"United States of America","Chicago","O'Hare International Airport","ORD"
"United States of America","Cincinnati","Cincinnati/Northern Kentucky International Airport","CVG"
"United States of America","Cleveland","Cleveland Hopkins International Airport","CLE"
"United States of America","Dallas","Dallas/Fort Worth International Airport","DFW"
"United States of America","Dayton","Dayton International Airport","DAY"
"United States of America","Denver","Denver International Airport","DEN"
"United States of America","Des Moines","Des Moines International Airport","DSM"
"United States of America","Detroit","Detroit Metropolitan Wayne County Airport","DTW"
"United States of America","Fairbanks","Fairbanks International Airport","FAI"
"United States of America","Fort Lauderdale","Fort Lauderdale-Hollywood International Airport","FLL"
"United States of America","Ft. Myers","Southwest Florida International Airport","RSW"
"United States of America","Fresno","Fresno Yosemite International Airport","FAT"
"United States of America","Hartford","Bradley International Airport","BDL"
"United States of America","Hilo","Hilo International Airport","ITO"
"United States of America","Honolulu","Honolulu International Airport","HNL"
"United States of America","Houston","George Bush Intercontinental Airport","IAH"
"United States of America","Houston","William P. Hobby Airport","HOU"
"United States of America","Indianapolis","Indianapolis International Airport","IND"
"United States of America","Jacksonville","Jacksonville International Airport","JAX"
"United States of America","Juneau","Juneau International Airport","JNU"
"United States of America","Kansas City","Kansas City International Airport","MCI"
"United States of America","Ketchikan","Ketchikan International Airport","KTN"
"United States of America","Key West","Key West International Airport","EYW"
"United States of America","Kona","Kona International Airport","KOA"
"United States of America","Lansing","Capital Region International Airport","LAN"
"United States of America","Las Vegas","McCarran International Airport","LAS"
"United States of America","Los Angeles","Los Angeles International Airport","LAX"
"United States of America","Louisville","Louisville International Airport","SDF"
"United States of America","Melbourne","Melbourne International Airport","MLB"
"United States of America","Memphis","Memphis International Airport","MEM"
"United States of America","Miami","Miami International Airport","MIA"
"United States of America","Milwaukee","General Mitchell International Airport","MKE"
"United States of America","Minneapolis","Minneapolis-Saint Paul International Airport","MSP"
"United States of America","Myrtle Beach","Myrtle Beach International Airport","MYR"
"United States of America","Nashville","Nashville International Airport","BNA"
"United States of America","New Orleans","Louis Armstrong New Orleans International Airport","MSY"
"United States of America","New York","John F. Kennedy International Airport","JFK"
"United States of America","New York","LaGuardia Airport","LGA"
"United States of America","Newark","Newark Liberty International Airport","EWR"
"United States of America","Newburgh","Stewart International Airport","SWF"
"United States of America","Oakland","Metropolitan Oakland International Airport","OAK"
"United States of America","Omaha","Eppley Airfield","OMA"
"United States of America","Ontario","Ontario International Airport","ONT"
"United States of America","Orange County","John Wayne Airport","SNA"
"United States of America","Orlando","Orlando International Airport","MCO"
"United States of America","Orlando","Orlando Sanford International Airport","SFB"
"United States of America","Palm Springs","Palm Springs International Airport","PSP"
"United States of America","Panama City","Northwest Florida Beaches International Airport","ECP"
"United States of America","Philadelphia","Philadelphia International Airport","PHL"
"United States of America","Phoenix","Phoenix Sky Harbor International Airport","PHX"
"United States of America","Pittsburgh","Pittsburgh International Airport","PIT"
"United States of America","Providence","T.F. Green Airport","PVD"
"United States of America","Raleigh","Raleigh-Durham International Airport","RDU"
"United States of America","Reno","Reno-Tahoe International Airport","RNO"
"United States of America","Sacramento","Sacramento International Airport","SMF"
"United States of America","Salt Lake City","Salt Lake City International Airport","SLC"
"United States of America","San Antonio","San Antonio International Airport","SAT"
"United States of America","San Bernardino","San Bernardino International Airport","SBD"
"United States of America","San Diego","San Diego International Airport","SAN"
"United States of America","San Francisco","San Francisco International Airport","SFO"
"United States of America","San Jose","San Jose International Airport","SJC"
"United States of America","San Juan","Luis Munoz Marin International Airport","SJU"
"United States of America","Sarasota","Sarasota-Bradenton International Airport","SRQ"
"United States of America","Seattle","Kenmore Air Harbor Seaplane Base","LKE"
"United States of America","Seattle","King County International Airport","BFI"
"United States of America","Seattle","Seattle-Tacoma International Airport","SEA"
"United States of America","Snohomish County (WA)","Paine Field","PAE"
"United States of America","Spokane","Spokane International Airport","GEG"
"United States of America","St. Louis","Lambert-Saint Louis International Airport","STL"
"United States of America","St. Petersburg","St. Petersburg-Clearwater International Airport","PIE"
"United States of America","Syracuse","Syracuse Hancock International Airport","SYR"
"United States of America","Tallahassee","Tallahassee International Airport","TLH"
"United States of America","Tampa","Tampa International Airport","TPA"
"United States of America","Washington, D.C.","Ronald Reagan Washington National Airport**","DCA"
"United States of America","Washington, D.C.","Washington Dulles International Airport","IAD"
"United States of America","West Palm Beach","Palm Beach International Airport","PBI"
"Argentina","Buenos Aires","Ministro Pistarini International Airport","EZE"
"Argentina","Buenos Aires","Aeroparque Jorge Newbery","AEP"
"Argentina","Mendoza","Governor Francisco Gabrielli International Airport","MDZ"
"Argentina","Resistencia","Resistencia International Airport","RES"
"Argentina","San Carlos de Bariloche","Teniente Luis Candelaria International Airport","BRC"
"Argentina","Ushuaia","Ushuaia International Airport","USH"
"Bolivia (Plurinational State of)","La Paz","El Alto International Airport","LPB"
"Bolivia (Plurinational State of)","Santa Cruz","Viru Viru International Airport","VVI"
"Brazil","Aracaju","Santa Maria Airport","AJU"
"Brazil","Belo Horizonte","Tancredo Neves International Airport","CNF"
"Brazil","Campinas","Viracopos International Airport","VCP"
"Brazil","Campo Grande","Campo Grande International Airport","CGR"
"Brazil","Curitiba","Afonso Pena International Airport","CWB"
"Brazil","Fortaleza","Pinto Martins International Airport","FOR"
"Brazil","Manaus","Eduardo Gomes International Airport","MAO"
"Brazil","Petrolina","Senador Nilo Coelho Airport","PNZ"
"Brazil","Porto Alegre","Salgado Filho International Airport","POA"
"Brazil","Porto Velho","Governador Jorge Teixeira de Oliveira International Airport","PVH"
"Brazil","Recife","Guararapes International Airport","REC"
"Chile","Antofagasta","Cerro Moreno International Airport","ANF"
"Chile","Easter Island","Mataveri International Airport","IPC"
"Chile","Puerto Montt","El Tepual International Airport","PMC"
"Colombia","Barranquilla","Ernesto Cortissoz International Airport","BAQ"
"Colombia","Bucaramanga","Palonegro International Airport","BGA"
"Colombia","Cali","Alfonso Bonilla Aragon International Airport","CLO"
"Ecuador","Cuenca","Mariscal Lamar International Airport","CUE"
"Ecuador","Esmeraldas","Carlos Concha Torres International Airport","ESM"
"Ecuador","Machala","Santa Rosa International Airport","ETR"
"Ecuador","Manta","Eloy Alfaro International Airport","MEC"
"Ecuador","Quito","Mariscal Sucre International Airport","UIO"
"Falkland Islands","Mount Pleasant","RAF Mount Pleasant","MPN"
"French Guiana","Cayenne","Cayenne-Rochambeau Airport","CAY"
"Guyana","Georgetown","Cheddi Jagan International Airport","GEO"
"Peru","Cusco","Alejandro Velasco Astete International Airport","CUZ"
"Suriname","Paramaribo","Johan Adolf Pengel International Airport","PBM"
"Uruguay","Montevideo","Carrasco International Airport","MVD"
"Uruguay","Punta del Este","Capitan Corbeta CA Curbelo International Airport","PDP"
"Venezuela (Bolivarian Republic of)","Maracaibo","La Chinita International Airport","MAR"
"Venezuela (Bolivarian Republic of)","Valencia","Arturo Michelena International Airport","VLN"
"Kazakhstan","Aktau","Aktau Airport","SCO"
"Kazakhstan","Almaty","Almaty International Airport","ALA"
"Kazakhstan","Astana","Astana International Airport","TSE"
"Kazakhstan","Atyrau","Atyrau Airport","GUW"
"Kazakhstan","Karaganda","Karaganda Airport","KGF"
"Kazakhstan","Kostanay","Kostanay Airport","KSN"
"Kazakhstan","Shymkent","Shymkent Airport","CIT"
"Kazakhstan","Oral","Oral Ak Zhol Airport","URA"
"Kyrgyzstan","Bishkek","Manas Airport","FRU"
"Kyrgyzstan","Osh","Osh Airport","OSS"
"Tajikistan","Dushanbe","Dushanbe Airport","DYU"
"Tajikistan","Khujand","Khujand Airport","LBD"
"Turkmenistan","Ashgabat","Ashgabat Airport","ASB"
"Turkmenistan","Mary","Mary International Airport","MYP"
"Turkmenistan","Turkmenbasy","Turkmenbashi International Airport","KRW"
"Uzbekistan","Tashkent","Tashkent International Airport","TAS"
"Uzbekistan","Namangan","Namangan Airport","NMA"
"Democratic People's Republic of Korea","Pyongyang","Pyongyang Sunan International Airport","FNJ"
"Japan","Akita","Akita Airport","AXT"
"Japan","Aomori","Aomori Airport","AOJ"
"Japan","Fukuoka","Fukuoka Airport","FUK"
"Japan","Hakodate","Hakodate Airport","HKD"
"Japan","Kagoshima","Kagoshima Airport","KOJ"
"Japan","Komatsu","Komatsu Airport","KMQ"
"Japan","Hiroshima","Hiroshima Airport","HIJ"
"Japan","Kitakyushu","New Kitakyushu Airport","KKJ"
"Japan","Nagasaki","Nagasaki Airport","NGS"
"Japan","Nagoya","Chubu Centrair International Airport","NGO"
"Japan","Niigata","Niigata Airport","KIJ"
"Japan","Oita","Oita Airport","OIT"
"Japan","Okayama","Okayama Airport","OKJ"
"Japan","Osaka","Kansai International Airport","KIX"
"Japan","Sapporo","New Chitose Airport","CTS"
"Japan","Sendai","Sendai Airport","SDJ"
"Japan","Shizuoka","Shizuoka Airport","FSZ"
"Japan","Tokyo","Haneda International Airport","HND"
"Japan","Tokyo","Narita International Airport","NRT"
"Mongolia","Ulaanbaatar","Chinggis Khaan International Airport","ULN"
"China","Beihai","Beihai Fucheng Airport","BHY"
"China","Beijing","Beijing Capital International Airport","PEK"
"China","Beijing","Beijing Nanyuan Airport","NAY"
"China","Changchun","Changchun Longjia International Airport","CGQ"
"China","Changsha","Changsha Huanghua International Airport","CSX"
"China","Changzhou","Changzhou Benniu Airport","CZX"
"China","Chengdu","Chengdu Shuangliu International Airport","CTU"
"China","Chongqing","Chongqing Jiangbei International Airport","CKG"
"China","Dandong","Dandong Langtou Airport","DDG"
"China","Dalian","Dalian Zhoushuizi International Airport","DLC"
"China","Dunhuang","Dunhuang Airport","DNH"
"China","Fuzhou","Fuzhou Changle International Airport","FOC"
"China","Guangzhou","Guangzhou Baiyun International Airport","CAN"
"China","Guilin","Guilin Liangjiang International Airport","KWL"
"China","Guiyang","Guiyang Longdongbao Airport","KWE"
"China","Haikou","Haikou Meilan International Airport","HAK"
"China","Hangzhou","Hangzhou Xiaoshan International Airport","HGH"
"China","Harbin","Harbin Taiping International Airport","HRB"
"China","Hefei","Hefei Xinqiao International Airport","HFE"
"China","Huizhou","Huizhou Pingtan Airport","HUZ"
"China","Jieyang","Jieyang Chaoshan International Airport","SWA"
"China","Jinan","Jinan Yaoqiang International Airport","TNA"
"China","Kunming","Kunming Changshui International Airport","KMG"
"China","Lanzhou","Lanzhou Zhongchuan International Airport","LHW"
"China","Lhasa","Lhasa Gonggar Airport","LXA"
"China","Liuzhou","Liuzhou Bailian Airport","LZH"
"China","Luoyang","Luoyang Beijiao Airport","LYA"
"China","Mianyang","Mianyang Nanjiao Airport","MIG"
"China","Mudangiang","Mudanjiang Airport","MDG"
"China","Nanchang","Nanchang Changbei International Airport","KHN"
"China","Nanjing","Nanjing Lukou International Airport","NKG"
"China","Nanning","Nanning Wuxu International Airport","NNG"
"China","Nantong","Nantong Xingdong Airport","NTG"
"China","Ningbo","Ningbo Lishe International Airport","NGB"
"China","Qingdao","Qingdao liuting International Airport","TAO"
"China","Quanzhou","Quanzhou Jinjiang International Airport","JJN"
"China","Sanya","Sanya Phoenix International Airport","SYX"
"China","Shanghai","Shanghai Hongqiao International Airport","SHA"
"China","Shanghai","Shanghai Pudong International Airport","PVG"
"China","Shenyeng","Shenyang Taoxian International Airport","SHE"
"China","Shenzhen","Shenzhen Bao'an International Airport","SZX"
"China","Shijianzhuang","Shijiazhuang Zhengding International Airport","SJW"
"China","Wuxi","Sunan Shuofang International Airport","WUX"
"China","Taiyuan","Taiyuan Wusu International Airport","TYN"
"China","Tianjin","Tianjin Binhai International Airport","TSN"
"China","Tianshui","Tianshui Airport","THQ"
"China","Weihai","Weihai International Airport","WEH"
"China","Wenzhou","Wenzhou Yongqiang Airport","WNZ"
"China","Wuhan","Wuhan Tianhe International Airport","WUH"
"China","Xiamen","Xiamen Gaoqi International Airport","XMN"
"China","Xian","Xi'an Xianyang International Airport","XIY"
"China","Xianyang","Xiangyang Airport","XFN"
"China","Xining","Xining Caojiabao Airport","XNN"
"China","Xichang","Xichang Qingshan Airport","XIC"
"China","Xuzhou","Xuzhou Guanyin Airport","XUZ"
"China","Yancheng","Yancheng Nanyang Airport","YNZ"
"China","Yanji","Yanji Airport","YNJ"
"China","Yantai","Yantai Penglai International Airport","YNT"
"China","Yinchuan","Yinchuan Hedong International Airport","INC"
"China","Zhangjiajie","Zhangjiajie Hehua Airport","DYG"
